Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7771817081294";="7771817081294";False;;0;0;="7771817081294";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081324";="7771817081324";False;;0;0;="7771817081324";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817081348";="7771817081348";False;;0;0;="7771817081348";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081362";="7771817081362";False;;0;0;="7771817081362";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081379";="7771817081379";False;;0;0;="7771817081379";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817081386";="7771817081386";False;;0;0;="7771817081386";;;;;;0;0;0;0;6;0;0;0;0;0;6;6;6;18
B100;FARMACORP;="7771817081393";="7771817081393";False;;0;0;="7771817081393";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081416";="7771817081416";False;;0;0;="7771817081416";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081430";="7771817081430";False;;0;0;="7771817081430";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081447";="7771817081447";False;;0;0;="7771817081447";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817081454";="7771817081454";False;;0;0;="7771817081454";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817081461";="7771817081461";False;;0;0;="7771817081461";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7771817081478";="7771817081478";False;;0;0;="7771817081478";;;;;;0;0;0;0;1;0;0;0;0;0;1;1;1;0
B100;FARMACORP;="7771817081508";="7771817081508";False;;0;0;="7771817081508";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
